,0,1,2,3,4,5,6,7
0,0.0683,0.0278,0.0003,0.0324,0.0013516843786710864,0.0003416975864541788,0.00011059077544870594,8.660451426871496e-05
1,0.045,0.0423,0.078,0.0415,0.003457741227875788,0.0021302992070580673,0.0011616460601076017,0.00014486687151885058
2,0.0442,0.0102,0.0697,0.0266,0.0018454479209138452,0.0009382735083782873,0.0007427432068941864,6.220963716570618e-05
3,0.0692,0.0577,0.0631,0.0958,0.006746569133330216,0.003933290474120804,0.0021307658950200092,0.0007757767157184903
4,0.0784,0.0955,0.0384,0.0845,0.007224700107874404,0.003970944349282857,0.001284315897472646,0.0006024703853611951
5,0.0608,0.0058,0.0504,0.0727,0.002911132703264485,0.0013772279933779996,0.0012246032946619245,0.00042609487987212147
6,0.0425,0.0962,0.0863,0.0167,0.0047296140447782575,0.0032214845157028105,0.0008816278818373074,3.0422340475521475e-05
7,0.077,0.0108,0.0793,0.0864,0.005259239857329012,0.002608589141036455,0.002271835625427293,0.0006213130023606933
8,0.0971,0.011,0.0699,0.0127,0.0028858627673552795,0.0007447775098572001,0.0005578579045699555,2.0221312418708046e-05
9,0.0044,0.0872,0.0255,0.0012,0.0011684084940064288,0.0010405429674149175,8.379551963874285e-05,7.63968533938294e-06
10,0.0251,0.05,0.0492,0.0385,0.0021514520612627153,0.0015284705172599888,0.0006266334027147519,0.00012298583076119501
11,0.0847,0.0028,0.0129,0.07,0.0023273648184326257,0.0006375219772860319,0.0005630865939148522,0.000387838668833837
12,0.0737,0.0912,0.0621,0.0767,0.007604626799494807,0.004421146038691703,0.0016362857093832062,0.0005007967185918782
13,0.0472,0.0453,0.0479,0.074,0.0037295337928445194,0.0022863560976060515,0.0012182295017632155,0.0004473198929506872
14,0.0379,0.0963,0.0482,0.0234,0.0034010880133816535,0.002264845459814563,0.0004336471810819642,5.095311204827632e-05
15,0.0926,0.0723,0.0291,0.082,0.006174876151194053,0.0027867644141474635,0.0010402418791559814,0.0005590749689264041
16,0.0415,0.0302,0.0653,0.0402,0.0025380098388937122,0.0014986815750034632,0.0008986951436274482,0.00013431729844329277
17,0.039,0.0906,0.0248,0.0345,0.0028612168671336424,0.0018046456664306543,0.00030490464410365403,0.00010070174365826856
18,0.049,0.0603,0.0134,0.0241,0.0017376779460238911,0.0007907199710745078,0.00013721725217034214,5.1805638715565067e-05
19,0.0644,0.0958,0.0491,0.0288,0.004546289934264536,0.002446712917739041,0.0005136579961789178,7.404379539377795e-05
20,0.0212,0.0074,0.0988,0.0328,0.0021074918350963145,0.0015724656135950033,0.0013795867720740873,9.19407807635983e-05
21,0.0094,0.0163,0.0766,0.067,0.002370882806888769,0.0020799407046948604,0.0016566873722486941,0.00036382207499856267
22,0.0133,0.0008,0.0574,0.0877,0.0021101676298816707,0.0017461033090393485,0.0016887375541765892,0.0006167708655896026
23,0.0624,0.0968,0.0572,0.0542,0.005957007916713164,0.003561061617477601,0.0010423760369168145,0.0002483774202584263
24,0.0122,0.0657,0.0805,0.0262,0.00277272353271682,0.002386245411760274,0.0009249977769469758,6.194305996685967e-05
25,0.0183,0.0752,0.0218,0.0217,0.001534953009437845,0.0011332344034416242,0.00017430935767710765,4.349601609869927e-05
26,0.0957,0.0104,0.0518,0.0173,0.00243735130217676,0.0005519662415460758,0.0003963537125804273,3.065285849244981e-05
27,0.0749,0.0885,0.0957,0.0241,0.006524974220109503,0.0035767999464675626,0.0012023112679916126,5.5684544485120474e-05
28,0.0368,0.0256,0.0014,0.0859,0.0018354969063323623,0.0010535895983388027,0.0006233109314804086,0.0005812879191949005
29,0.0254,0.0603,0.0569,0.0413,0.0027393367762334198,0.0020232010501226028,0.0007866063249761385,0.00014200156600251146
30,0.0852,0.0102,0.0812,0.0189,0.003047452948043511,0.0010147130530124004,0.0008106237901167601,3.5666814008059045e-05
31,0.0629,0.044,0.0399,0.0269,0.0024107955967319628,0.0010093275812951413,0.0003743928356805537,6.35936450463434e-05
32,0.0196,0.0702,0.0036,0.0666,0.0020837352700567857,0.0015858329326891851,0.0004144265882082554,0.00035302540657296266
33,0.0106,0.0917,0.0004,0.0216,0.001278742715178166,0.0010390995031417244,6.677584445776569e-05,4.2840294699999365e-05
34,0.0353,0.0808,0.0813,0.0811,0.006450325637044396,0.00493178801662944,0.0022245538090292227,0.0005587190666618697
35,0.0156,0.0313,0.093,0.0898,0.004400727170619789,0.0038007842799989144,0.0027649507418048558,0.0006727510733893216
36,0.0752,0.0838,0.0308,0.0877,0.006282722083122527,0.003390412572482099,0.0011860557310179737,0.0006423213811755368
37,0.0971,0.043,0.0764,0.0175,0.004362971718832209,0.0015422337910657447,0.0007274968447992525,3.214848586583635e-05
38,0.0364,0.0906,0.0286,0.0534,0.0035214982146348495,0.0024025218430106243,0.0005634807436665223,0.0002341984427520899
